;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. АСПТ НПС отключена (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. АСПТ НПС отключена (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. АСПТ НПС отключена (интерфейс). Сигнал установлен; Желтый param_limit.wav
;НПС. АСПТ НПС отключена (интерфейс). Сигнал снят; Зеленый 
;НПС. АСПТ НПС отключена (интерфейс). Сигнал достоверен; Зеленый 
;НПС. АСПТ НПС отключена (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. АСПТ НПС отключена (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Неисправность АСПТ РП (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Неисправность АСПТ РП (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал установлен; Красный param_alarm.wav
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал снят; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. Неисправность АСПТ РП (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. АСПТ РП сработала (интерфейс). Сигнал достоверен; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. АСПТ РП сработала (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. АСПТ РП сработала (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. АСПТ РП сработала (интерфейс). Сигнал установлен; Желтый param_limit.wav
;НПС. АСПТ РП сработала (интерфейс). Сигнал снят; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Сигнал достоверен; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. АСПТ РП сработала (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. АСПТ РП отключено (интерфейс). Сигнал достоверен; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. АСПТ РП отключено (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. АСПТ РП отключено (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. АСПТ РП отключено (интерфейс). Сигнал установлен; Красный param_alarm.wav
;НПС. АСПТ РП отключено (интерфейс). Сигнал снят; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Сигнал достоверен; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. АСПТ РП отключено (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. Неисправность системы водотушения (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Неисправность системы водотушения (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Неисправность системы водотушения (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Неисправность системы водотушения (интерфейс). Сигнал установлен; Желтый param_limit.wav
;НПС. Неисправность системы водотушения (интерфейс). Сигнал снят; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. Неисправность системы водотушения (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. Система водотушения сработала (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Система водотушения сработала (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Система водотушения сработала (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Система водотушения сработала (интерфейс). Сигнал установлен; Красный param_alarm.wav
;НПС. Система водотушения сработала (интерфейс). Сигнал снят; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. Система водотушения сработала (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Установлен режим "Маскирование"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Снят режим "Маскирование"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Снят режим "Имитация логического "0"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Снят режим "Имитация логической "1"; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Сигнал недостоверен; Красный nsp.wav
;НПС. Система водотушения отключена (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Система водотушения отключена (интерфейс). Обрыв. Сигнал снят; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Система водотушения отключена (интерфейс). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Система водотушения отключена (интерфейс). Сигнал установлен; Желтый param_limit.wav
;НПС. Система водотушения отключена (интерфейс). Сигнал снят; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Сигнал достоверен; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Сигнал достоверен режим Имитации; Зеленый 
;НПС. Система водотушения отключена (интерфейс). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Затопление колодца 1К. Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Затопление колодца 1К. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Затопление колодца 1К. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Затопление колодца 1К. Установлен режим "Маскирование"; Зеленый 
;НПС. Затопление колодца 1К. Снят режим "Маскирование"; Зеленый 
;НПС. Затопление колодца 1К. Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Затопление колодца 1К. Снят режим "Имитация логического "0"; Зеленый 
;НПС. Затопление колодца 1К. Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Затопление колодца 1К. Снят режим "Имитация логической "1"; Зеленый 
;НПС. Затопление колодца 1К. Сигнал недостоверен; Красный nsp.wav
;НПС. Затопление колодца 1К. Сигнал достоверен; Зеленый 
;НПС. Затопление колодца 1К. Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Затопление колодца 1К. Обрыв. Сигнал снят; Зеленый 
;НПС. Затопление колодца 1К. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Затопление колодца 1К. Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Затопление колодца 1К. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Затопление колодца 1К. Сигнал установлен; Красный param_alarm.wav
;НПС. Затопление колодца 1К. Сигнал снят; Зеленый 
;НПС. Затопление колодца 1К. Сигнал достоверен; Зеленый 
;НПС. Затопление колодца 1К. Сигнал достоверен режим Имитации; Зеленый 
;НПС. Затопление колодца 1К. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Установить режим "Маскирование"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Снять режим "Маскирование"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Установлен режим "Маскирование"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Снят режим "Маскирование"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Установлен режим "Имитация логического "0"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Снят режим "Имитация логического "0"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Установлен режим "Имитация логической "1"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Снят режим "Имитация логической "1"; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал недостоверен; Красный nsp.wav
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал достоверен; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Обрыв. Сигнал установлен; Красный nsp.wav
;НПС. Утечки в линии дренажа (дизтопливо). Обрыв. Сигнал снят; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Короткое замыкание. Сигнал установлен; Красный nsp.wav
;НПС. Утечки в линии дренажа (дизтопливо). Короткое замыкание. Сигнал снят; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал установлен; Красный param_alarm.wav
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал снят; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал достоверен; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Сигнал достоверен режим Имитации; Зеленый 
;НПС. Утечки в линии дренажа (дизтопливо). Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Установить режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Снять режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Установлен режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Снят режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Установлен режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Снят режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Установлен режим "Имитация логической "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Снят режим "Имитация логической "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал недостоверен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал достоверен; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Обрыв. Сигнал установлен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Обрыв. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Короткое замыкание. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал установлен; Красный param_alarm.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал достоверен; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Сигнал достоверен режим Имитации; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 1 СШ. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Установить режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Снять режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Установлен режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Снят режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Установлен режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Снят режим "Имитация логического "0"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Установлен режим "Имитация логической "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Снят режим "Имитация логической "1"; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал недостоверен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал достоверен; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Обрыв. Сигнал установлен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Обрыв. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Короткое замыкание. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал установлен; Красный param_alarm.wav
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал снят; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал достоверен; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Сигнал достоверен режим Имитации; Зеленый 
;Энергоснабжение. ЩСУ 0. Отсутствие напряжения на 2 СШ. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;Энергоснабжение. ЩСУ 1. Отсутствие напряжения на 1 СШ. Принята команда "Установить режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 1. Отсутствие напряжения на 1 СШ. Принята команда "Снять режим "Маскирование"; Зеленый 
;Энергоснабжение. ЩСУ 1. Отсутствие напряжения на 1 СШ. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
